127.0.0.1 - - [01/Sep/2019:14:35:38 +0900] "GET / HTTP/1.1" 200 21834
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET / HTTP/1.1" 200 21834
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/mmenu.min.js HTTP/1.1" 200 24620
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /css/main-color.css HTTP/1.1" 200 9369
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /img/logo.png HTTP/1.1" 200 81051
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /img/listing-item-01.jpg HTTP/1.1" 200 109613
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/jquery-2.2.0.min.js HTTP/1.1" 200 134860
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /css/style.css HTTP/1.1" 200 363873
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/magnific-popup.min.js HTTP/1.1" 200 21144
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/chosen.min.js HTTP/1.1" 200 27389
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/counterup.min.js HTTP/1.1" 200 14402
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/slick.min.js HTTP/1.1" 200 53177
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/rangeslider.min.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/apis.js HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/tooltips.min.js HTTP/1.1" 200 5269
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/jquery-ui.min.js HTTP/1.1" 200 36674
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/redirect.js HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [01/Sep/2019:14:36:00 +0900] "GET /js/switcher.js HTTP/1.1" 200 4848
